Internet Archive ID,# pages,# w/ images,contrast (n),contrast (p),contrast (r),pictureblocks (n),pictureblocks (p),pictureblocks (r)
mobot31753002719497,154,71
mobot31753000639010,81,1
mobot31753002937024,148,8
mobot31753003646467,571,66
mobot31753002364229,234,37
mobot31753003542112,508,61
mobot31753002364039,235,42,60,0.666666666667,0.952380952381,85,0.494117647059,1.0
mobot31753002145974,570,3
mobot31753003488050,46,6
mobot31753002307608,528,11
mobot31753002548862,577,20
mobot31753003558795,156,6
mobot31753003560056,1877,340
mobot31753003499115,436,2
mobot31753003559124,240,57
mobot31753003541650,417,47
mobot31753002220892,884,4,58,0.0689655172414,1.0,160,0.025,1.0
mobot31753003539936,45,1
mobot31753003540637,9,1
mobot31753000810769,643,1
mobot31753002152186,451,7
mobot31753000060878,554,25
mobot31753000261252,678,1
mobot31753003540645,11,1
mobot31753002306444,426,2
mobot31753000158706,757,6
mobot31753002150396,415,12
mobot31753000595725,65,5
mobot31753000148384,507,69
mobot31753002478920,948,32
mobot31753003506182,732,75
mobot31753000809043,419,3
mobot31753002482849,722,32
mobot31753000798311,532,118
mobot31753002350046,597,16
mobot31753003539951,27,3
mobot31753003039812,51,19
mobot31753002739420,276,55
mobot31753002769443,90,1
mobot31753002245139,941,9
mobot31753003539621,56,3
mobot31753003506075,851,28
mobot31753000121878,26,1
mobot31753002694625,296,213
mobot31753002771241,221,76
mobot31753002462049,235,26
mobot31753003541395,23,1
mobot31753000329646,552,17
mobot31753002350194,579,3
mobot31753002349899,208,1
mobot31753000592920,466,2
mobot31753002466487,537,13
mobot31753002307251,597,14
mobot31753002245030,978,5
mobot31753002718697,73,14
mobot31753002262506,522,20
mobot31753002572805,465,33
mobot31753002748231,398,88
mobot31753002306774,679,1
mobot31753002461785,235,29
mobot31753000809258,251,67
mobot31753003071526,84,12
mobot31753003651079,237,21
mobot31753002488234,428,87
mobot31753002701453,405,68
mobot31753002307384,566,18
mobot31753002151840,423,12
mobot31753002245303,1051,32
mobot31753000811148,1002,17
mobot31753000818804,23,1
mobot31753002747274,355,114
mobot31753002133228,328,320
mobot31753003560023,885,178
mobot31753003541346,15,6
mobot31753000121308,476,30
mobot31753003541213,356,51
mobot31753000584919,75,3
mobot31753002382536,449,7
mobot31753002251053,515,124
mobot31753002894886,379,185
mobot31753003559363,325,12
mobot31753003506463,457,162
mobot31753002719208,120,31
mobot31753002218201,365,39
mobot31753003559991,651,121
mobot31753002307624,570,6
mobot31753002207543,223,30
mobot31753002678099,346,37
mobot31753002739461,19,1
mobot31753002161906,354,4
mobot31753003506323,391,68
mobot31753003487169,364,22
mobot31753002397781,445,9
mobot31753002152046,446,2
mobot31753003541049,360,36
mobot31753002306436,432,2
mobot31753002893680,31,1
mobot31753002771126,270,62
mobot31753003541684,548,44
mobot31753003540108,345,64
